日付,商品名,カテゴリ,地域,数量,単価,売上金額
2026-01-01,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-01-01,ギフトセット,ギフト,福岡,4,4500,18000
2026-01-02,マグカップ,雑貨,東京,1,1800,1800
2026-01-02,コーヒー豆200g,食品,名古屋,2,1500,3000
2026-01-03,コーヒー豆200g,食品,名古屋,3,1500,4500
2026-01-03,ドリップコーヒー12杯,食品,札幌,2,1200,2400
2026-01-03,コーヒー豆200g,食品,東京,4,1500,6000
2026-01-03,コーヒー豆200g,食品,東京,1,1500,1500
2026-01-03,ドリップパックギフト,ギフト,名古屋,3,3200,9600
2026-01-03,ギフトセット,ギフト,名古屋,5,4500,22500
2026-01-03,カフェオレベース,食品,名古屋,3,980,2940
2026-01-04,タンブラー,雑貨,福岡,1,2800,2800
2026-01-04,コーヒー豆200g,食品,東京,1,1500,1500
2026-01-04,コーヒー豆200g,食品,東京,1,1500,1500
2026-01-04,マグカップ,雑貨,大阪,1,1800,1800
2026-01-04,コーヒー豆200g,食品,東京,4,1500,6000
2026-01-04,マグカップ,雑貨,名古屋,1,1800,1800
2026-01-05,ドリップコーヒー12杯,食品,大阪,5,1200,6000
2026-01-05,マグカップ,雑貨,名古屋,2,1800,3600
2026-01-05,ドリップパックギフト,ギフト,福岡,1,3200,3200
2026-01-06,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-01-06,定期便（月1）,サブスク,名古屋,2,3600,7200
2026-01-07,マグカップ,雑貨,大阪,4,1800,7200
2026-01-07,カフェオレベース,食品,東京,1,980,980
2026-01-07,タンブラー,雑貨,東京,2,2800,5600
2026-01-08,カフェオレベース,食品,その他,1,980,980
2026-01-08,タンブラー,雑貨,福岡,3,2800,8400
2026-01-08,ドリップコーヒー12杯,食品,東京,2,1200,2400
2026-01-08,マグカップ,雑貨,大阪,2,1800,3600
2026-01-08,カフェオレベース,食品,東京,2,980,1960
2026-01-09,マグカップ,雑貨,東京,4,1800,7200
2026-01-09,ギフトセット,ギフト,福岡,1,4500,4500
2026-01-10,カフェオレベース,食品,大阪,4,980,3920
2026-01-10,ドリップパックギフト,ギフト,東京,2,3200,6400
2026-01-10,ドリップコーヒー12杯,食品,その他,3,1200,3600
2026-01-10,コーヒー豆200g,食品,名古屋,2,1500,3000
2026-01-10,ドリップコーヒー12杯,食品,福岡,2,1200,2400
2026-01-10,ギフトセット,ギフト,名古屋,1,4500,4500
2026-01-11,カフェオレベース,食品,東京,1,980,980
2026-01-11,定期便（月1）,サブスク,札幌,1,3600,3600
2026-01-11,コーヒー豆200g,食品,名古屋,1,1500,1500
2026-01-11,ギフトセット,ギフト,札幌,5,4500,22500
2026-01-11,タンブラー,雑貨,東京,2,2800,5600
2026-01-11,定期便（月1）,サブスク,東京,2,3600,7200
2026-01-12,定期便（月1）,サブスク,その他,3,3600,10800
2026-01-12,マグカップ,雑貨,福岡,1,1800,1800
2026-01-12,マグカップ,雑貨,大阪,4,1800,7200
2026-01-12,カフェオレベース,食品,東京,1,980,980
2026-01-12,ドリップコーヒー12杯,食品,名古屋,2,1200,2400
2026-01-13,ドリップコーヒー12杯,食品,名古屋,1,1200,1200
2026-01-13,定期便（月1）,サブスク,札幌,1,3600,3600
2026-01-14,コーヒー豆200g,食品,大阪,2,1500,3000
