日付,商品名,カテゴリ,地域,数量,単価,売上金額
2026-04-01,カフェオレベース,食品,その他,5,980,4900
2026-04-01,マグカップ,雑貨,福岡,2,1800,3600
2026-04-01,ドリップパックギフト,ギフト,札幌,2,3200,6400
2026-04-02,ギフトセット,ギフト,その他,5,4500,22500
2026-04-02,カフェオレベース,食品,その他,1,980,980
2026-04-02,定期便（月1）,サブスク,福岡,3,3600,10800
2026-04-03,カフェオレベース,食品,大阪,4,980,3920
2026-04-03,タンブラー,雑貨,大阪,5,2800,14000
2026-04-03,コーヒー豆200g,食品,福岡,2,1500,3000
2026-04-04,マグカップ,雑貨,東京,5,1800,9000
2026-04-04,ドリップパックギフト,ギフト,名古屋,1,3200,3200
2026-04-04,カフェオレベース,食品,その他,1,980,980
2026-04-04,ギフトセット,ギフト,東京,4,4500,18000
2026-04-05,ギフトセット,ギフト,東京,1,4500,4500
2026-04-05,タンブラー,雑貨,札幌,4,2800,11200
2026-04-05,定期便（月1）,サブスク,福岡,3,3600,10800
2026-04-05,コーヒー豆200g,食品,名古屋,2,1500,3000
2026-04-06,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-04-06,カフェオレベース,食品,札幌,1,980,980
2026-04-06,ドリップパックギフト,ギフト,東京,5,3200,16000
2026-04-06,ドリップコーヒー12杯,食品,札幌,2,1200,2400
2026-04-07,カフェオレベース,食品,名古屋,2,980,1960
2026-04-07,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-04-07,ドリップコーヒー12杯,食品,札幌,3,1200,3600
2026-04-07,カフェオレベース,食品,大阪,1,980,980
2026-04-08,定期便（月1）,サブスク,名古屋,4,3600,14400
2026-04-08,カフェオレベース,食品,その他,3,980,2940
2026-04-08,ギフトセット,ギフト,札幌,1,4500,4500
2026-04-08,ドリップパックギフト,ギフト,福岡,2,3200,6400
2026-04-08,マグカップ,雑貨,東京,1,1800,1800
2026-04-09,マグカップ,雑貨,札幌,1,1800,1800
2026-04-09,コーヒー豆200g,食品,福岡,5,1500,7500
2026-04-09,コーヒー豆200g,食品,名古屋,1,1500,1500
2026-04-10,マグカップ,雑貨,大阪,3,1800,5400
2026-04-10,カフェオレベース,食品,名古屋,5,980,4900
2026-04-10,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-04-11,コーヒー豆200g,食品,大阪,2,1500,3000
2026-04-11,コーヒー豆200g,食品,東京,2,1500,3000
